"canonical_card_id","card_name","card_number","previous_unresolved_reason","resolved_reading","reading_completeness","status","source_type","source_url_1","source_url_2","source_url_3","source_url_4","evidence_note","final_card_name","final_status","final_resolved_reading","final_source_type","final_source_url_1","final_decision_note"
"155","頂上混成 ガリュディアス・モモミーズ’22","DM26RP3 TR8/TR9","DMWiki見出しがDB正式名と不一致","ちょうじょうこんせい ガリュディアス・モモミーズトゥエンティツー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E9%A0%82%E4%B8%8A%E6%B7%B7%E6%88%90%2B%E3%82%AC%E3%83%AA%E3%83%A5%E3%83%87%E3%82%A3%E3%82%A2%E3%82%B9%E3%83%BB%E3%83%A2%E3%83%A2%E3%83%9F%E3%83%BC%E3%82%BA%2722%E3%80%8B","","","","見出しに頂上混成(ちょうじょうこんせい)、22(トゥエンティツー)のルビ。DBと記事のapostrophe codepoint差。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","頂上混成 ガリュディアス・モモミーズ’22","confirmed_dmwiki","ちょうじょうこんせい ガリュディアス・モモミーズトゥエンティツー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E9%A0%82%E4%B8%8A%E6%B7%B7%E6%88%90%2B%E3%82%AC%E3%83%AA%E3%83%A5%E3%83%87%E3%82%A3%E3%82%A2%E3%82%B9%E3%83%BB%E3%83%A2%E3%83%A2%E3%83%9F%E3%83%BC%E3%82%BA%2722%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"483","王来英雄 モモキングRX","DM26RP3 TR2/TR9","DMWiki見出しがDB正式名と不一致","オーライヒーロー モモキングレックス","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E7%8E%8B%E6%9D%A5%E8%8B%B1%E9%9B%84%20%E3%83%A2%E3%83%A2%E3%82%AD%E3%83%B3%E3%82%B0RX%E3%80%8B","","","","見出しに王来英雄(オーライヒーロー)、RX(レックス)のルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","王来英雄 モモキングRX","confirmed_dmwiki","オーライヒーロー モモキングレックス","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E7%8E%8B%E6%9D%A5%E8%8B%B1%E9%9B%84%20%E3%83%A2%E3%83%A2%E3%82%AD%E3%83%B3%E3%82%B0RX%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"804","BARUGA-雷座87","DM26RP3 STD10/ | DM26RP3 STD㊙10/ | DM26RP3 STD超㊙10/","DMWiki見出しがDB正式名と不一致","バルガ-ライザーエイトセブン","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8ABARUGA-%E9%9B%B7%E5%BA%A787%E3%80%8B","","","","BARUGA(バルガ)、雷座(ライザー)、87(エイトセブン)のルビ。DBのASCII BARUGAと漢字表記差。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","BARUGA-雷座87","confirmed_dmwiki","バルガ-ライザーエイトセブン","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8ABARUGA-%E9%9B%B7%E5%BA%A787%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"835","ブランド ＜NEXT.Star＞","DM26RP3 STD11/ | DM26RP3 STD㊙11/ | DM26RP3 STD超㊙11/","DMWiki見出しがDB正式名と不一致","ブランド ＜ネクスト.スター＞","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%20%EF%BC%9CNEXT.Star%EF%BC%9E%E3%80%8B","","","","NEXT(ネクスト)、Star(スター)のルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","ブランド ＜NEXT.Star＞","confirmed_dmwiki","ブランド ＜ネクスト.スター＞","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%20%EF%BC%9CNEXT.Star%EF%BC%9E%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"3128","クイーン&かぼちゃうちゃう","DM26RP3 SP5/SP5","DMWiki見出しがDB正式名と不一致","クイーンアンドかぼちゃうちゃう","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%82%AF%E3%82%A4%E3%83%BC%E3%83%B3%EF%BC%86%E3%81%8B%E3%81%BC%E3%81%A1%E3%82%83%E3%81%86%E3%81%A1%E3%82%83%E3%81%86%E3%80%8B","","","","＆(アンド)の明示ルビ。半角&と全角＆の差。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","クイーン&かぼちゃうちゃう","confirmed_dmwiki","クイーンアンドかぼちゃうちゃう","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%82%AF%E3%82%A4%E3%83%BC%E3%83%B3%EF%BC%86%E3%81%8B%E3%81%BC%E3%81%A1%E3%82%83%E3%81%86%E3%81%A1%E3%82%83%E3%81%86%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"5006","霊宝 ヒャクメ-４","DM26RP3 T5/T10","DMWiki見出しがDB正式名と不一致","れいほう ヒャクメ-フォー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E9%9C%8A%E5%AE%9D%2B%E3%83%92%E3%83%A3%E3%82%AF%E3%83%A1-4%E3%80%8B","","","","霊宝(れいほう)、ヒャクメ-4(フォー)の明示ルビ。DBは全角４、記事はASCII 4。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","霊宝 ヒャクメ-４","confirmed_dmwiki","れいほう ヒャクメ-フォー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E9%9C%8A%E5%AE%9D%2B%E3%83%92%E3%83%A3%E3%82%AF%E3%83%A1-4%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"5175","ディスタス・ゲート","DM26RP3 T6/T10","DMWikiページにルビなし","ディスタス・ゲート","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-T006","https://dmwiki.net/%E3%80%8A%E3%83%87%E3%82%A3%E3%82%B9%E3%82%BF%E3%82%B9%E3%83%BB%E3%82%B2%E3%83%BC%E3%83%88%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ディスタス・ゲート","confirmed_official","ディスタス・ゲート","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-T006","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"6248","キング・マニフェスト","DM26RP3 TD2/TD5","DMWikiページにルビなし","キング・マニフェスト","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-TD002","https://dmwiki.net/%E3%80%8A%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%BB%E3%83%9E%E3%83%8B%E3%83%95%E3%82%A7%E3%82%B9%E3%83%88%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","キング・マニフェスト","confirmed_official","キング・マニフェスト","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-TD002","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"7080","サッヴァークDG","DM26RP3 TR3/TR9","DMWiki見出しがDB正式名と不一致","サッヴァークディージー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%82%B5%E3%83%83%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%AFDG%E3%80%8B","","","","DG(ディージー)の明示ルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","サッヴァークDG","confirmed_dmwiki","サッヴァークディージー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%82%B5%E3%83%83%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%AFDG%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"7137","禁時混成王 ドキンダンテXXII","DM26RP3 STD12/ | DM26RP3 STD㊙12/ | DM26RP3 STD超㊙12/","DMWiki見出しがDB正式名と不一致","きんじこんせいおう ドキンダンテトゥエンティツー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E7%A6%81%E6%99%82%E6%B7%B7%E6%88%90%E7%8E%8B%20%E3%83%89%E3%82%AD%E3%83%B3%E3%83%80%E3%83%B3%E3%83%86XXII%E3%80%8B","","","","禁時混成王、XXIIの明示ルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","禁時混成王 ドキンダンテXXII","confirmed_dmwiki","きんじこんせいおう ドキンダンテトゥエンティツー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E7%A6%81%E6%99%82%E6%B7%B7%E6%88%90%E7%8E%8B%20%E3%83%89%E3%82%AD%E3%83%B3%E3%83%80%E3%83%B3%E3%83%86XXII%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
